"filename", "language", "Python", "JSON", "HTML", "pip requirements", "Properties", "Batch", "C++", "PowerShell", "CSS", "Markdown", "JavaScript", "XML", "C", "comment", "blank", "total"
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\orm\state.py", "Python", 484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 405, 135, 1024
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\orm\strategies.py", "Python", 2314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 377, 438, 3129
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\orm\strategy_options.py", "Python", 904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 726, 194, 1824
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\orm\sync.py", "Python", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 23, 168
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\orm\unitofwork.py", "Python", 541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 126, 785
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\orm\util.py", "Python", 1016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 770, 205, 1991
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\pool\__init__.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 7, 57
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\pool\base.py", "Python", 508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 388, 125, 1021
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\pool\dbapi_proxy.py", "Python", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 25, 148
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\pool\events.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 198, 19, 249
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\pool\impl.py", "Python", 305, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 77, 515
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\processors.py", "Python", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 30, 177
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\schema.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 60
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\sql\__init__.py", "Python", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 16, 151
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\sql\annotation.py", "Python", 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 60, 359
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\sql\base.py", "Python", 866, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 558, 254, 1678
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\sql\coercions.py", "Python", 789, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 213, 1058
