Date : 2021-09-15 22:16:08
Directory : c:\Users\Neel Shettigar\Desktop\ReachTeens
Total : 1329 files,  331557 codes, 141720 comments, 66760 blanks, all 540037 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\postgresql\asyncpg.py                          | Python           |        728 |        124 |        198 |      1,050 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\postgresql\base.py                             | Python           |      2,104 |      1,943 |        408 |      4,455 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\postgresql\dml.py                              | Python           |        130 |        117 |         27 |        274 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\postgresql\ext.py                              | Python           |        110 |        135 |         31 |        276 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\postgresql\hstore.py                           | Python           |        199 |        166 |         80 |        445 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\postgresql\json.py                             | Python           |        106 |        182 |         37 |        325 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\postgresql\pg8000.py                           | Python           |        366 |        102 |        119 |        587 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\postgresql\provision.py                        | Python           |        106 |          2 |         20 |        128 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\postgresql\psycopg2.py                         | Python           |        430 |        524 |        107 |      1,061 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\postgresql\psycopg2cffi.py                     | Python           |         26 |         25 |         10 |         61 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\postgresql\pygresql.py                         | Python           |        208 |         25 |         46 |        279 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\postgresql\pypostgresql.py                     | Python           |         74 |         31 |         22 |        127 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\postgresql\ranges.py                           | Python           |         44 |         55 |         37 |        136 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\sqlite\__init__.py                             | Python           |         46 |          7 |          6 |         59 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\sqlite\aiosqlite.py                            | Python           |        220 |         46 |         67 |        333 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\sqlite\base.py                                 | Python           |      1,329 |      1,000 |        216 |      2,545 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\sqlite\dml.py                                  | Python           |         87 |         88 |         25 |        200 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\sqlite\json.py                                 | Python           |         38 |         32 |         15 |         85 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\sqlite\provision.py                            | Python           |        106 |         12 |         25 |        143 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\sqlite\pysqlcipher.py                          | Python           |         49 |         96 |         20 |        165 |
