Date : 2021-09-15 22:16:08
Directory : c:\Users\Neel Shettigar\Desktop\ReachTeens
Total : 1329 files,  331557 codes, 141720 comments, 66760 blanks, all 540037 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\requests\exceptions.py                                 | Python           |         32 |         42 |         50 |        124 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\requests\help.py                                       | Python           |         88 |         13 |         19 |        120 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\requests\hooks.py                                      | Python           |         14 |         14 |          7 |         35 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\requests\models.py                                     | Python           |        517 |        277 |        163 |        957 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\requests\packages.py                                   | Python           |          8 |          5 |          4 |         17 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\requests\sessions.py                                   | Python           |        353 |        291 |        138 |        782 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\requests\status_codes.py                               | Python           |         88 |         23 |         13 |        124 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\requests\structures.py                                 | Python           |         44 |         39 |         23 |        106 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\requests\utils.py                                      | Python           |        506 |        313 |        174 |        993 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\resolvelib\__init__.py                                 | Python           |         23 |          0 |          4 |         27 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\resolvelib\compat\__init__.py                          | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\resolvelib\compat\collections_abc.py                   | Python           |          5 |          0 |          2 |          7 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\resolvelib\providers.py                                | Python           |         18 |         96 |         11 |        125 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\resolvelib\reporters.py                                | Python           |          8 |         22 |          8 |         38 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\resolvelib\resolvers.py                                | Python           |        281 |        115 |         79 |        475 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\resolvelib\structs.py                                  | Python           |         95 |         21 |         38 |        154 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\six.py                                                 | Python           |        677 |        129 |        177 |        983 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\tenacity\__init__.py                                   | Python           |        336 |         89 |         99 |        524 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\tenacity\_asyncio.py                                   | Python           |         51 |         19 |         12 |         82 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\tenacity\_utils.py                                     | Python           |         89 |         42 |         29 |        160 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\tenacity\after.py                                      | Python           |         16 |         17 |          8 |         41 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\tenacity\before.py                                     | Python           |         11 |         17 |          8 |         36 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\tenacity\before_sleep.py                               | Python           |         25 |         17 |         10 |         52 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\tenacity\compat.py                                     | Python           |          9 |         12 |          3 |         24 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\tenacity\nap.py                                        | Python           |          8 |         25 |          8 |         41 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\tenacity\retry.py                                      | Python           |        103 |         32 |         58 |        193 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\tenacity\stop.py                                       | Python           |         40 |         24 |         32 |         96 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\tenacity\tornadoweb.py                                 | Python           |         28 |         14 |          8 |         50 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\tenacity\wait.py                                       | Python           |         68 |         77 |         39 |        184 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\toml\__init__.py                                       | Python           |         17 |          4 |          5 |         26 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\toml\decoder.py                                        | Python           |        934 |         50 |         74 |      1,058 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\toml\encoder.py                                        | Python           |        220 |         43 |         42 |        305 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\toml\ordered.py                                        | Python           |          9 |          0 |          7 |         16 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\toml\tz.py                                             | Python           |         18 |          0 |          7 |         25 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\__init__.py                                    | Python           |         49 |         23 |         14 |         86 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\_collections.py                                | Python           |        197 |         83 |         58 |        338 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\_version.py                                    | Python           |          1 |          1 |          1 |          3 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\connection.py                                  | Python           |        344 |        113 |         83 |        540 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\connectionpool.py                              | Python           |        574 |        366 |        128 |      1,068 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\__init__.py                            | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_appengine_environ.py                  | Python           |         15 |         10 |         12 |         37 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\__init__.py           | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\bindings.py           | Python           |        380 |         48 |         92 |        520 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\low_level.py          | Python           |        217 |        122 |         58 |        397 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\appengine.py                           | Python           |        201 |         68 |         46 |        315 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\ntlmpool.py                            | Python           |         84 |         20 |         18 |        122 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\pyopenssl.py                           | Python           |        312 |        108 |         90 |        510 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\securetransport.py                     | Python           |        541 |        252 |        128 |        921 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\socks.py                               | Python           |        129 |         56 |         32 |        217 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\exceptions.py                                  | Python           |        128 |         69 |        127 |        324 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\fields.py                                      | Python           |        122 |        111 |         42 |        275 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\filepost.py                                    | Python           |         46 |         31 |         22 |         99 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\packages\__init__.py                           | Python           |          3 |          0 |          3 |          6 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports\__init__.py                 | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports\makefile.py                 | Python           |         38 |         11 |          3 |         52 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\packages\six.py                                | Python           |        685 |        133 |        204 |      1,022 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\packages\ssl_match_hostname\__init__.py        | Python           |         14 |          5 |          4 |         23 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\packages\ssl_match_hostname\_implementation.py | Python           |         87 |         53 |         21 |        161 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\poolmanager.py                                 | Python           |        266 |        191 |         80 |        537 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\request.py                                     | Python           |         73 |         76 |         22 |        171 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\response.py                                    | Python           |        496 |        214 |        112 |        822 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\util\__init__.py                               | Python           |         46 |          1 |          3 |         50 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\util\connection.py                             | Python           |         79 |         42 |         30 |        151 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\util\proxy.py                                  | Python           |         30 |         18 |          9 |         57 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\util\queue.py                                  | Python           |         14 |          1 |          8 |         23 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\util\request.py                                | Python           |         71 |         54 |         19 |        144 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\util\response.py                               | Python           |         44 |         45 |         19 |        108 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\util\retry.py                                  | Python           |        328 |        203 |         72 |        603 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\util\ssl_.py                                   | Python           |        260 |        143 |         72 |        475 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\util\ssltransport.py                           | Python           |        155 |         29 |         38 |        222 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\util\timeout.py                                | Python           |         90 |        153 |         26 |        269 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\util\url.py                                    | Python           |        261 |        104 |         66 |        431 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\urllib3\util\wait.py                                   | Python           |         83 |         44 |         27 |        154 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\webencodings\__init__.py                               | Python           |        126 |        173 |         44 |        343 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\webencodings\labels.py                                 | Python           |        216 |         13 |          3 |        232 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\webencodings\mklabels.py                               | Python           |         26 |         24 |         10 |         60 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\webencodings\tests.py                                  | Python           |        116 |         13 |         25 |        154 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pip\_vendor\webencodings\x_user_defined.py                         | Python           |        285 |         18 |         23 |        326 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pkg_resources\__init__.py                                          | Python           |      1,827 |        900 |        562 |      3,289 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pkg_resources\_vendor\__init__.py                                  | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pkg_resources\_vendor\appdirs.py                                   | Python           |        306 |        240 |         63 |        609 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pkg_resources\_vendor\packaging\__about__.py                       | Python           |         19 |          3 |          6 |         28 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pkg_resources\_vendor\packaging\__init__.py                        | Python           |         21 |          3 |          3 |         27 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pkg_resources\_vendor\packaging\_compat.py                         | Python           |         16 |         12 |         11 |         39 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pkg_resources\_vendor\packaging\_structures.py                     | Python           |         41 |         21 |         25 |         87 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pkg_resources\_vendor\packaging\_typing.py                         | Python           |         10 |         35 |          4 |         49 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pkg_resources\_vendor\packaging\markers.py                         | Python           |        208 |         46 |         75 |        329 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pkg_resources\_vendor\packaging\requirements.py                    | Python           |         92 |         21 |         33 |        146 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pkg_resources\_vendor\packaging\specifiers.py                      | Python           |        383 |        327 |        154 |        864 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pkg_resources\_vendor\packaging\tags.py                            | Python           |        466 |        177 |        109 |        752 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pkg_resources\_vendor\packaging\utils.py                           | Python           |         29 |         18 |         19 |         66 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pkg_resources\_vendor\packaging\version.py                         | Python           |        285 |        140 |        111 |        536 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing.py                                 | Python           |      2,835 |      2,367 |        541 |      5,743 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pkg_resources\extern\__init__.py                                   | Python           |         46 |         15 |         13 |         74 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pkg_resources\tests\data\my-test-package-source\setup.py           | Python           |          6 |          0 |          1 |          7 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pycparser\__init__.py                                              | Python           |         29 |         53 |          9 |         91 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pycparser\_ast_gen.py                                              | Python           |        173 |        110 |         56 |        339 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pycparser\_build_tables.py                                         | Python           |         13 |         19 |          6 |         38 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pycparser\_c_ast.cfg                                               | Properties       |         47 |         97 |         48 |        192 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pycparser\ast_transforms.py                                        | Python           |         23 |         73 |         11 |        107 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pycparser\c_ast.py                                                 | Python           |        791 |         83 |        211 |      1,085 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pycparser\c_generator.py                                           | Python           |        321 |         58 |         66 |        445 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pycparser\c_lexer.py                                               | Python           |        280 |        151 |         84 |        515 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pycparser\c_parser.py                                              | Python           |        840 |        801 |        223 |      1,864 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pycparser\lextab.py                                                | Python           |          9 |          1 |          1 |         11 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pycparser\ply\__init__.py                                          | Python           |          2 |          2 |          2 |          6 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pycparser\ply\cpp.py                                               | Python           |        595 |        209 |        102 |        906 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pycparser\ply\ctokens.py                                           | Python           |         76 |         28 |         30 |        134 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pycparser\ply\lex.py                                               | Python           |        719 |        224 |        157 |      1,100 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\pycparser\ply\yacc.py                                              | Python           |      2,047 |        917 |        531 |      3,495 |
